name,male,frequency_score
麻友,0.125,0.515
黒川,0.75,0.47
サントス,0.6,0.499
熊谷,0.75,0.469
勝子,0.0,0.487
アンナ,0.071,0.536
ユミコ,0.0,0.469
玲那,0.0,0.518
吉輝,1.0,0.498
公彦,1.0,0.468
陽香,0.0,0.467
ケイスケ,0.938,0.535
裕基,1.0,0.506
ゆな,0.0,0.485
千恵美,0.0,0.467
なや,0.75,0.485
せな,0.5,0.467
克仁,1.0,0.531
智大,1.0,0.484
雅洋,1.0,0.484
直志,1.0,0.466
たくと,1.0,0.466
理央,0.0,0.466
川田,0.7,0.52
レナ,0.0,0.511
るり子,0.0,0.466
治郎,1.0,0.51
弘和,1.0,0.483
龍雄,1.0,0.504
陸人,1.0,0.504
真季,0.0,0.51
稲葉,0.75,0.465
信二,1.0,0.483
うらら,0.0,0.464
美海,0.0,0.524
ホウ,1.0,0.482
光信,1.0,0.509
章博,1.0,0.494
ユウイチ,1.0,0.464
エディ,0.833,0.502
さち,0.0,0.481
三恵子,0.0,0.463
花音,0.0,0.481
ゆういち,1.0,0.481
ハヤト,0.8,0.481
静江,0.0,0.463
良徳,1.0,0.462
元春,0.6,0.528
トシオ,1.0,0.48
知恵子,0.0,0.462
凌平,1.0,0.5
キン,0.8,0.48
和秀,1.0,0.462
章弘,1.0,0.5
洋祐,1.0,0.461
瑞貴,1.0,0.479
岩田,0.5,0.499
侑樹,1.0,0.461
育也,1.0,0.461
聡一,1.0,0.461
ウィリアン,1.0,0.46
千暁,0.0,0.46
由佳里,0.0,0.46
優佳,0.0,0.478
雅浩,1.0,0.49
隆文,1.0,0.513
多恵,0.0,0.459
駿之介,1.0,0.477
健輔,1.0,0.489
康人,1.0,0.459
陸斗,1.0,0.459
ロナルド,1.0,0.528
充子,0.0,0.458
菜緒,0.0,0.458
和洋,1.0,0.476
章夫,1.0,0.458
せん,0.8,0.476
栄基,1.0,0.458
秀紀,1.0,0.458
カズオ,1.0,0.476
アニタ,0.0,0.487
晋平,0.889,0.507
三浦,0.8,0.475
里枝,0.0,0.496
大策,1.0,0.475
マリ子,0.0,0.475
壮一,1.0,0.456
松下,1.0,0.474
マサト,1.0,0.456
あんな,0.0,0.5
遼太,1.0,0.455
彰洋,1.0,0.473
秀吉,0.583,0.515
さち子,0.0,0.473
正信,1.0,0.499
あいうえお,0.25,0.454
洋佑,1.0,0.472
友彦,1.0,0.472
優治,1.0,0.454
愛佳,0.0,0.492
池上,1.0,0.471
ライ,0.889,0.507
てん,0.6,0.471
富雄,1.0,0.526
貞雄,1.0,0.491
一裕,1.0,0.453
隼平,1.0,0.453
芳雄,0.857,0.491
永野,0.667,0.452
なつ,0.125,0.497
かれん,0.0,0.524
亮佑,1.0,0.452
やすし,0.833,0.482
龍一郎,1.0,0.451
明博,1.0,0.496
秋子,0.0,0.526
大二郎,1.0,0.451
章裕,1.0,0.468
サクラ,0.111,0.5
シゲ,1.0,0.45
紗季,0.0,0.468
和将,1.0,0.468
寛和,1.0,0.449
飯塚,0.8,0.467
良二,1.0,0.467
哲士,1.0,0.479
広志,1.0,0.479
康貴,1.0,0.467
奈実,0.0,0.449
雄基,1.0,0.487
とも子,0.0,0.467
夏希,0.0,0.466
今野,0.333,0.448
広海,1.0,0.448
シュウ,1.0,0.466
俊太郎,1.0,0.448
貞子,0.0,0.505
量子,0.0,0.466
ミゲル,1.0,0.523
彩奈,0.0,0.447
佑香,0.0,0.477
エリック,1.0,0.518
鉄平,1.0,0.447
三上,0.75,0.447
マルコ,0.889,0.504
ゆみえ,0.0,0.446
みな,0.0,0.524
駿佑,1.0,0.464
咲良,0.0,0.446
昌人,1.0,0.464
幸佑,1.0,0.445
初美,0.0,0.475
政行,0.875,0.49
雅章,1.0,0.463
一昭,1.0,0.445
亜耶,0.0,0.463
杏菜,0.0,0.445
紘子,0.0,0.483
アドリアナ,0.0,0.462
チアゴ,1.0,0.462
一孝,1.0,0.444
由季,0.0,0.444
理香子,0.0,0.473
ケイジ,1.0,0.443
セサル,1.0,0.443
博仁,0.981,0.527
宮下,0.25,0.443
理乃,0.0,0.443
俊貴,0.833,0.472
大亮,1.0,0.492
則夫,1.0,0.442
竹内,0.6,0.46
西川,0.857,0.487
藤原,0.778,0.492
美津江,0.0,0.442
わかな,0.0,0.442
福井,0.75,0.442
足立,1.0,0.441
東京,0.833,0.471
野口,0.333,0.471
真未,0.0,0.441
晋一郎,1.0,0.441
ユウ,0.667,0.479
謙治,1.0,0.458
かよ,0.0,0.458
結香,0.0,0.44
みゆう,0.0,0.458
由理,0.0,0.44
遥佳,0.2,0.457
みつき,0.1,0.522
そう,0.8,0.469
すけ,0.25,0.439
そうた,1.0,0.457
しげる,1.0,0.439
匠平,0.8,0.457
まさや,1.0,0.456
春奈,0.0,0.456
勇次,1.0,0.456
諒子,0.0,0.438
光平,0.962,0.515
望美,0.0,0.438
辰徳,1.0,0.438
秀典,1.0,0.438
拓巳,1.0,0.438
もとこ,0.0,0.437
久保,0.5,0.437
祐未,0.0,0.437
和史,1.0,0.437
ふみ,0.333,0.467
純代,0.0,0.455
喜一,1.0,0.437
智樹,1.0,0.437
恭一,1.0,0.437
祐佳,0.0,0.436
マルシア,0.0,0.436
真樹子,0.0,0.481
えみこ,0.0,0.454
道大,1.0,0.453
愛斗,1.0,0.435
翔馬,1.0,0.435
祐里,0.25,0.435
恵梨,0.0,0.453
鈴香,0.0,0.435
夏生,0.571,0.473
佳之,1.0,0.434
佑真,0.778,0.488
ナナ,0.0,0.488
サオリ,0.0,0.434
にゃん,0.5,0.434
潤哉,1.0,0.433
知弥,1.0,0.451
コウキ,1.0,0.433
貴義,1.0,0.433
みぃ,0.0,0.433
大我,1.0,0.433
土屋,0.8,0.451
佳菜子,0.0,0.433
絹子,0.0,0.432
寿紀,1.0,0.432
哲志,0.889,0.482
伸夫,1.0,0.432
まゆこ,0.0,0.432
聖二,1.0,0.432
一希,0.833,0.461
しょうこ,0.0,0.476
史帆,0.0,0.431
亜里沙,0.0,0.481
晃弘,1.0,0.43
邦雄,1.0,0.448
彰宏,1.0,0.43
篤人,1.0,0.43
勝大,1.0,0.43
康祐,1.0,0.46
秀二,1.0,0.429
美空,0.0,0.459
莉穂,0.0,0.447
ちん,0.875,0.474
悠暉,1.0,0.429
ごう,1.0,0.446
悠平,1.0,0.428
公平,1.0,0.428
正也,1.0,0.428
みずほ,0.0,0.428
麗加,0.0,0.457
雅明,0.423,0.502
裕斗,1.0,0.427
幸太郎,1.0,0.457
正照,0.8,0.445
平田,0.714,0.465
孝浩,1.0,0.445
萌絵,0.0,0.427
颯人,1.0,0.444
梨央,0.0,0.456
正裕,1.0,0.48
夢子,0.0,0.456
岳人,0.8,0.444
耕一郎,1.0,0.426
沙也香,0.0,0.443
眞弓,0.0,0.425
善和,1.0,0.443
啓佑,1.0,0.443
政志,1.0,0.443
智代,0.0,0.454
康洋,1.0,0.442
雅則,1.0,0.424
明花,0.0,0.497
憲二,1.0,0.463
君江,0.0,0.442
成人,1.0,0.454
雅貴,1.0,0.424
謙二,0.917,0.484
よしこ,0.0,0.423
ふみ子,0.0,0.441
良輔,1.0,0.462
真哉,1.0,0.423
白石,0.643,0.487
敏治,1.0,0.453
悟史,1.0,0.423
志郎,1.0,0.485
琢也,1.0,0.441
可菜,0.0,0.422
崇之,1.0,0.422
莉歩,0.0,0.422
尾崎,0.5,0.452
裕章,1.0,0.46
泰史,1.0,0.467
信男,1.0,0.486
聖奈,0.0,0.439
正実,1.0,0.421
洋幸,1.0,0.421
寛史,1.0,0.421
武久,1.0,0.421
雅行,1.0,0.439
俊二,0.833,0.451
宗一,1.0,0.451
パメラ,0.0,0.42
雄樹,1.0,0.465
安藤,0.571,0.459
くにこ,0.0,0.438
日出美,0.0,0.42
良典,1.0,0.438
伸浩,1.0,0.42
高義,1.0,0.449
智昭,1.0,0.458
フランシスコ,1.0,0.464
利雄,1.0,0.449
豊久,1.0,0.419
祥平,0.909,0.479
正憲,1.0,0.476
重治,1.0,0.418
克明,1.0,0.498
壮太,1.0,0.418
壮一郎,1.0,0.418
義仁,1.0,0.475
幸喜,0.833,0.448
隆彦,1.0,0.418
嘉一,0.778,0.472
清司,1.0,0.456
達治,1.0,0.417
横田,0.5,0.417
靖幸,1.0,0.417
由貴子,0.0,0.417
怜子,0.0,0.434
綾音,0.0,0.446
貴雄,1.0,0.485
政治,1.0,0.48
広子,0.0,0.434
菜津美,0.0,0.416
結愛,0.0,0.434
啓史,1.0,0.416
信人,1.0,0.416
一誠,1.0,0.48
慎二郎,1.0,0.415
亜衣,0.167,0.445
啓治,1.0,0.433
友之,1.0,0.415
智久,1.0,0.433
眞美,0.0,0.445
公美,0.0,0.433
重樹,1.0,0.414
智宏,0.929,0.496
和司,1.0,0.414
タカノリ,1.0,0.414
康浩,1.0,0.432
進之介,1.0,0.414
むつみ,0.0,0.414
貴俊,1.0,0.414
友浩,0.8,0.431
亮子,0.3,0.467
美晴,0.0,0.483
喜美子,0.0,0.412
あお,0.167,0.442
海平,0.793,0.487
云鹏,0.986,0.486
浩文,0.955,0.488
文明,0.935,0.488
雅楠,0.043,0.483
雅文,0.063,0.487
碧霞,0.0,0.488
文佳,0.605,0.482
嘉浩,0.988,0.486
丽英,0.006,0.487
智文,0.976,0.486
秀敏,0.139,0.485
俊博,1.0,0.478
金城,0.972,0.486
明俊,0.984,0.484
信宏,0.981,0.486
文江,0.917,0.478
希望,0.514,0.48
友明,0.952,0.482
茉莉,0.072,0.484
知行,0.923,0.467
宏志,1.0,0.481
春江,0.85,0.474
英傑,0.991,0.485
敬一,0.909,0.462
政宏,0.987,0.483
光生,1.0,0.456
キム,0.273,0.465
俊輝,0.979,0.481
麗香,0.013,0.48
美紅,0.0,0.479
浩輝,0.966,0.475
文章,0.96,0.48
智華,0.805,0.477
雄輝,1.0,0.471
宇宙,0.854,0.476
浩光,1.0,0.468
愛華,0.04,0.472
智仁,0.98,0.477
ひでお,1.0,0.414
貴彦,1.0,0.414
紗枝,0.0,0.388
アマンダ,0.0,0.424
忠義,1.0,0.471
雄治,1.0,0.424
聖治,1.0,0.388
まきこ,0.0,0.41
義盛,1.0,0.439
ユカ,0.333,0.387
にー,0.667,0.387
成樹,1.0,0.387
いつき,0.25,0.409
晋二,1.0,0.409
忠嗣,1.0,0.422
恵実,0.0,0.409
雄輔,0.857,0.438
窪田,0.0,0.386
智司,1.0,0.386
進也,1.0,0.409
祐生,1.0,0.453
一広,1.0,0.386
憲之,1.0,0.386
有沙,0.0,0.385
あやめ,0.167,0.43
悠作,1.0,0.385
仁子,0.25,0.408
祐大,1.0,0.385
敏文,0.667,0.445
かんな,0.0,0.45
繁男,1.0,0.384
伊津子,0.0,0.384
仁司,1.0,0.384
メリー,0.0,0.406
祐亮,1.0,0.383
真有,0.0,0.419
真佐美,0.0,0.383
正隆,1.0,0.46
高野,0.375,0.439
勝朗,1.0,0.382
りほ,0.0,0.405
一海,1.0,0.433
杏樹,0.2,0.418
シンヤ,1.0,0.381
宏一朗,1.0,0.381
るり,0.0,0.446
昭宏,1.0,0.461
だいご,1.0,0.381
弘志,1.0,0.444
珠実,0.0,0.403
みつる,0.75,0.403
尚宏,0.929,0.453
宣子,0.0,0.38
絵美子,0.25,0.402
義光,1.0,0.436
綾美,0.0,0.402
美南,0.154,0.449
智洋,1.0,0.451
もも,0.077,0.452
美津代,0.0,0.379
泰徳,1.0,0.379
潤子,0.0,0.379
承太郎,0.667,0.379
隼弥,1.0,0.401
英文,0.8,0.461
章太,1.0,0.379
広光,1.0,0.378
ヨシ,0.667,0.378
善昭,1.0,0.378
雄紀,1.0,0.378
英範,1.0,0.378
尚久,1.0,0.378
牧野,1.0,0.429
敬三,1.0,0.413
真里子,0.0,0.4
莉紗,0.0,0.377
宗弘,1.0,0.413
ナオコ,0.0,0.377
謙司,1.0,0.376
あああ,1.0,0.412
美惠,0.005,0.465
翔哉,1.0,0.376
栄人,1.0,0.376
憲子,0.25,0.398
和孝,1.0,0.412
光隆,1.0,0.421
弓子,0.0,0.376
香乃,0.0,0.375
ゆう子,0.0,0.375
汐莉,0.0,0.375
和花,0.0,0.397
藤川,0.75,0.397
タケル,0.7,0.451
隆弥,1.0,0.374
朱莉,0.0,0.434
真夕,0.0,0.374
結子,0.25,0.396
レアンドロ,1.0,0.373
みはる,0.0,0.373
かりな,0.25,0.396
友昭,1.0,0.395
貴幸,1.0,0.395
ゆうせい,1.0,0.395
友章,1.0,0.408
ハビエル,1.0,0.444
りょうか,0.0,0.372
エバ,0.0,0.408
啓太郎,1.0,0.372
清弘,1.0,0.408
好男,1.0,0.417
ジョイ,0.0,0.437
原田,0.5,0.394
吉岡,0.5,0.423
久和,1.0,0.371
吉川,0.714,0.423
小次郎,1.0,0.371
かなと,1.0,0.371
千景,0.0,0.393
としえ,0.0,0.406
アハマド,1.0,0.415
莉菜,0.0,0.392
天音,0.571,0.421
ミルトン,1.0,0.392
森山,0.857,0.421
公二,1.0,0.37
大洋,0.9,0.435
憲史,1.0,0.392
久枝,0.0,0.392
元輝,1.0,0.429
幸彦,0.75,0.391
良司,1.0,0.405
ともひろ,1.0,0.405
佳久,1.0,0.368
あゆむ,0.833,0.413
成史,1.0,0.368
及川,0.667,0.419
知良,1.0,0.367
司郎,1.0,0.367
喜之,1.0,0.367
ロサン,0.75,0.389
重孝,1.0,0.402
慎哉,1.0,0.366
サダオ,1.0,0.366
理惠,0.0,0.428
大星,0.667,0.428
紗苗,0.0,0.365
まりか,0.0,0.365
萌美,0.0,0.365
浩伸,1.0,0.364
詩乃,0.0,0.364
章浩,1.0,0.416
憲彦,1.0,0.364
敏宏,0.909,0.429
真耶,0.333,0.363
宏太,1.0,0.363
朋香,0.0,0.363
関口,0.5,0.386
浜田,1.0,0.385
大士,1.0,0.363
拓歩,1.0,0.363
荒井,1.0,0.362
美季,0.0,0.419
ラズ,0.6,0.398
さえ,0.0,0.362
果歩,0.182,0.427
たみ,0.333,0.362
真麻,0.25,0.384
幸徳,0.667,0.362
コン,1.0,0.413
新人,1.0,0.397
実紅,0.0,0.384
久徳,1.0,0.361
アンジェリカ,0.0,0.417
義博,1.0,0.397
邦生,1.0,0.361
かんた,1.0,0.36
美佳子,0.0,0.36
玲花,0.0,0.405
せいこ,0.0,0.36
博信,1.0,0.405
のあ,0.0,0.396
勝喜,1.0,0.382
あきと,1.0,0.404
美久,0.0,0.404
蒼太,1.0,0.359
由衣,0.0,0.359
サトコ,0.0,0.358
リオ,0.25,0.381
よしの,0.0,0.358
雄亮,1.0,0.418
しょうご,1.0,0.358
ともか,0.0,0.38
大暉,1.0,0.357
りゅういち,1.0,0.393
みあ,0.0,0.357
龍樹,1.0,0.357
美彦,1.0,0.357
希美,0.0,0.408
まさひこ,1.0,0.357
ねこ,0.5,0.426
翔伍,1.0,0.379
郁弥,1.0,0.392
金子,0.263,0.433
賢太朗,1.0,0.356
万理,0.5,0.378
坂本,0.4,0.392
哲生,1.0,0.407
泰彦,1.0,0.356
智士,1.0,0.356
正代,0.333,0.355
知巳,1.0,0.355
ミッシェル,0.0,0.4
みつ,0.75,0.377
生子,0.0,0.354
立花,0.8,0.39
カルメン,0.0,0.39
建司,1.0,0.354
りえ子,0.0,0.354
恭代,0.0,0.354
洋文,1.0,0.399
克幸,1.0,0.353
さかもと,0.667,0.353
かわ,0.25,0.376
龍平,1.0,0.375
隆次,1.0,0.375
たかあき,1.0,0.352
美代,0.053,0.428
岡野,1.0,0.351
典夫,1.0,0.374
崇史,1.0,0.351
拓史,1.0,0.373
昌士,1.0,0.387
トモキ,1.0,0.351
アンジェラ,0.0,0.406
直己,1.0,0.372
伸明,0.857,0.401
園子,0.0,0.386
ぽん,0.5,0.372
風花,0.0,0.372
湧介,1.0,0.372
エライネ,0.0,0.349
敬史,1.0,0.349
早百合,0.0,0.349
潤一郎,1.0,0.349
美夢,0.1,0.412
輝彦,1.0,0.349
黒田,0.333,0.349
土田,0.25,0.371
郁恵,0.0,0.348
海里,0.5,0.371
麟太郎,1.0,0.348
いさむ,1.0,0.348
武夫,1.0,0.393
海渡,1.0,0.347
靖代,0.0,0.347
安雄,1.0,0.399
カオル,0.25,0.37
北川,0.6,0.383
栄司,1.0,0.369
じぇい,0.75,0.369
タチアナ,0.0,0.392
彩希,0.0,0.383
片岡,1.0,0.347
雅嗣,1.0,0.346
裕行,1.0,0.398
寛二,1.0,0.346
夏菜,0.0,0.346
吾郎,1.0,0.368
菜々恵,0.0,0.346
上野,0.571,0.397
あつみ,0.333,0.345
晶一,1.0,0.345
愛奈,0.0,0.345
しゅ,0.75,0.367
ジャン,1.0,0.39
博章,1.0,0.389
基行,1.0,0.367
茂一,1.0,0.344
吉則,1.0,0.344
千佳子,0.0,0.38
淳司,1.0,0.344
義正,1.0,0.4
文吾,1.0,0.343
澄恵,0.0,0.343
愛結,0.0,0.343
あき子,0.0,0.343
貴則,1.0,0.343
珠江,0.0,0.343
ケリー,0.0,0.365
ロシャン,1.0,0.342
勇士,0.917,0.41
平良,0.75,0.364
依子,0.0,0.342
将和,1.0,0.342
ホセイン,1.0,0.342
泰司,1.0,0.377
雪絵,0.0,0.364
さら,0.143,0.413
幸則,1.0,0.341
敏和,1.0,0.363
政紀,1.0,0.34
淑恵,0.0,0.34
一臣,1.0,0.362
タク,0.667,0.34
将弘,1.0,0.339
侑也,1.0,0.339
利彦,1.0,0.339
雅恵,0.0,0.339
一穂,1.0,0.339
重夫,1.0,0.339
モハメド,1.0,0.424
邦昭,1.0,0.361
武瑠,1.0,0.338
かずよし,1.0,0.338
ハルオ,1.0,0.338
エメルソン,1.0,0.338
滉大,1.0,0.337
あやな,0.0,0.337
河本,0.333,0.337
河野,0.75,0.36
はやと,1.0,0.36
卓弥,1.0,0.337
上原,0.4,0.373
レチシア,0.0,0.336
健矢,1.0,0.336
宏典,1.0,0.359
ルシア,0.0,0.336
俊秀,0.594,0.417
よしかず,1.0,0.336
真寿美,0.0,0.336
研治,1.0,0.336
権兵衛,0.667,0.336
航太郎,1.0,0.335
すず,0.25,0.358
宮崎,0.5,0.371
彼方,0.75,0.358
泰行,1.0,0.335
仁史,1.0,0.357
たかひさ,1.0,0.335
和佳子,0.0,0.357
奈央子,0.0,0.334
タナカ,0.333,0.334
ヒデオ,1.0,0.334
クリスチアノ,1.0,0.334
ほなみ,0.0,0.356
隆士,1.0,0.334
秀造,1.0,0.334
祐加,0.0,0.333
みきお,1.0,0.333
元彦,1.0,0.356
まさあき,1.0,0.333
周三,1.0,0.333
ダニ,0.667,0.384
瑞己,1.0,0.333
キャサリン,0.1,0.4
竜之介,1.0,0.333
英人,1.0,0.355
ホルヘ,1.0,0.409
晃世,0.333,0.332
きらり,0.0,0.332
万次郎,1.0,0.332
ジン,0.636,0.399
グスタボ,1.0,0.394
リザ,0.0,0.367
真優美,0.0,0.331
ジョ,0.545,0.396
レオン,1.0,0.33
カツ,0.75,0.353
としひこ,1.0,0.33
はなこ,0.0,0.352
じん,1.0,0.366
カズヨシ,1.0,0.33
雅治,0.667,0.381
雅実,0.333,0.329
昭太,1.0,0.329
哲朗,1.0,0.351
うさぎ,0.5,0.38
要子,0.0,0.351
忠史,1.0,0.328
瑠偉,1.0,0.328
啓志,1.0,0.35
のどか,0.0,0.328
光広,1.0,0.327
あきひこ,0.75,0.35
理穂,0.0,0.327
里咲,0.0,0.327
高司,1.0,0.349
遥奈,0.0,0.349
裕明,0.957,0.405
龍星,0.9,0.389
裕弥,1.0,0.326
あか,0.6,0.382
輝男,1.0,0.348
恵太,1.0,0.326
れお,0.75,0.348
弘光,1.0,0.37
芳幸,1.0,0.325
あな,0.143,0.385
マガル,1.0,0.325
浩大,1.0,0.347
颯斗,1.0,0.325
平川,1.0,0.381
もえか,0.0,0.347
やまだ,1.0,0.325
穂乃香,0.0,0.324
美玖,0.0,0.347
悠輔,1.0,0.324
竜平,1.0,0.347
玲美,0.0,0.397
桃菜,0.0,0.346
英次,1.0,0.324
とものり,1.0,0.324
健三,0.75,0.346
かとう,0.333,0.323
ハジメ,1.0,0.346
晃太郎,1.0,0.323
まち子,0.0,0.323
安男,1.0,0.323
アルビン,1.0,0.345
眞智子,0.0,0.322
勝弘,1.0,0.382
浩次,1.0,0.322
徳治,1.0,0.322
くみ子,0.0,0.322
正典,1.0,0.358
千草,0.0,0.344
アレン,0.667,0.366
雅昭,0.8,0.357
弘文,1.0,0.394
莉佳,0.0,0.357
辰郎,1.0,0.321
健仁,1.0,0.386
祐一郎,1.0,0.32
明雄,0.96,0.405
あずみ,0.0,0.372
モハマド,1.0,0.401
カク,0.8,0.356
龍志,1.0,0.342
千咲,0.0,0.355
ヨシコ,0.0,0.319
晴海,0.1,0.382
正仁,0.947,0.397
聖仁,1.0,0.355
潤平,0.727,0.384
西岡,1.0,0.319
一秀,0.5,0.364
育世,0.0,0.319
慧祐,0.75,0.341
義典,1.0,0.354
義春,1.0,0.318
ママ,0.25,0.354
善規,1.0,0.318
あやね,0.0,0.317
武治,1.0,0.34
たかふみ,1.0,0.317
まさかず,1.0,0.317
佳歩,0.0,0.317
美弥子,0.0,0.317
匡宏,1.0,0.339
里志,1.0,0.339
ムーン,0.571,0.368
太朗,1.0,0.361
誠太,1.0,0.316
耕輔,1.0,0.352
智佳,0.429,0.367
恵三,1.0,0.316
高田,0.6,0.351
果穂,0.0,0.397
泉美,0.2,0.351
雅仁,1.0,0.375
結城,0.714,0.366
菜々実,0.0,0.315
萌恵,0.0,0.315
竹男,1.0,0.315
立彦,1.0,0.314
泰平,1.0,0.366
淳一郎,1.0,0.314
赤星,1.0,0.314
麻里奈,0.0,0.314
イバン,1.0,0.37
光洋,1.0,0.314
桃佳,0.0,0.314
尚哉,1.0,0.313
比嘉,0.667,0.313
江里子,0.0,0.336
泰夫,1.0,0.313
晃太朗,1.0,0.313
えみり,0.0,0.358
大司,1.0,0.313
社長,0.818,0.378
新吾,1.0,0.348
耕作,1.0,0.335
京都,0.5,0.334
香奈子,0.0,0.312
タロウ,0.75,0.334
紅美,0.0,0.347
公男,1.0,0.311
フェルナンド,1.0,0.39
亮次,1.0,0.311
栄作,1.0,0.31
一人,0.833,0.378
浩二郎,1.0,0.31
ゆうだい,1.0,0.31
ピーター,1.0,0.355
政昭,1.0,0.31
英哲,1.0,0.391
孝正,1.0,0.345
寿江,0.0,0.309
忠弘,1.0,0.309
隼也,1.0,0.331
花菜,0.333,0.354
和重,0.75,0.331
カマル,1.0,0.353
信博,1.0,0.365
亜弓,0.0,0.308
道生,1.0,0.384
安達,0.778,0.371
恒夫,1.0,0.308
宏彰,1.0,0.373
康隆,0.833,0.353
アヤコ,0.0,0.307
仁宏,1.0,0.386
スケ,1.0,0.343
勇作,1.0,0.307
綾花,0.0,0.307
正春,0.667,0.374
庸子,0.0,0.306
友秀,1.0,0.306
貴哉,1.0,0.328
康至,1.0,0.305
春子,0.059,0.381
大井,0.667,0.305
堀江,0.5,0.327
正悟,1.0,0.305
祐実,0.0,0.305
勝寿,1.0,0.305
一宏,0.75,0.327
一浩,1.0,0.327
ひろえ,0.0,0.304
関根,0.5,0.327
光宏,1.0,0.375
清重,1.0,0.304
泰恵,0.0,0.304
智則,1.0,0.303
直弥,1.0,0.303
真輝,0.833,0.348
賢哉,1.0,0.303
昌雄,1.0,0.348
じゅり,0.0,0.325
和利,1.0,0.368
義次,1.0,0.302
莉緒,0.0,0.302
秀彰,1.0,0.338
理貴,1.0,0.302
三恵,0.0,0.302
和己,1.0,0.301
君枝,0.0,0.301
美登利,0.0,0.301
美明,0.417,0.37
清久,1.0,0.3
敏央,1.0,0.3
シル,0.0,0.3
静枝,0.0,0.323
主税,1.0,0.3
雅広,0.667,0.3
美乃,0.0,0.356
隆大,1.0,0.322
恵佑,1.0,0.299
ナイン,1.0,0.322
カンデル,1.0,0.299
峻輔,1.0,0.322
利則,1.0,0.299
俊太,1.0,0.299
敬二,1.0,0.299
忠彦,1.0,0.298
省三,1.0,0.343
星奈,0.0,0.321
久栄,0.0,0.298
なた,0.667,0.32
正基,1.0,0.343
奈々美,0.0,0.32
麻弥,0.333,0.297
花奈,0.0,0.297
栄一郎,1.0,0.297
ケビン,1.0,0.369
雅司,1.0,0.297
宏章,1.0,0.36
泰成,1.0,0.37
茉由,0.0,0.297
パパ,1.0,0.332
ミツヒロ,1.0,0.296
勝史,1.0,0.296
ローズ,0.375,0.356
ヒトミ,0.0,0.296
マサノリ,1.0,0.296
正好,1.0,0.332
みさ,0.143,0.358
萌実,0.0,0.295
恵理香,0.0,0.295
良信,1.0,0.355
紗彩,0.0,0.295
裕志,1.0,0.295
秀男,0.875,0.351
マテウス,0.833,0.34
ゆん,0.0,0.294
わか,0.0,0.294
萌花,0.0,0.339
マサオ,1.0,0.294
幸紀,1.0,0.294
マリアン,0.0,0.339
知幸,1.0,0.294
安生,0.75,0.368
弘晃,1.0,0.316
義貴,1.0,0.338
貴美,0.0,0.372
麻理子,0.0,0.293
勝男,0.714,0.363
ミキオ,0.5,0.292
竜大,1.0,0.292
光世,0.714,0.343
ブルー,0.667,0.337
宏弥,1.0,0.292
廣瀬,0.667,0.291
眞理,0.0,0.314
英嗣,1.0,0.291
中嶋,0.75,0.313
昌則,1.0,0.291
江口,0.667,0.291
よしだ,0.667,0.291
みなこ,0.0,0.313
大関,0.667,0.29
豪太,1.0,0.289
ちゃ,0.6,0.334
大槻,0.667,0.289
健也,1.0,0.289
ジャスミン,0.0,0.34
英世,0.667,0.289
彰吾,1.0,0.289
安夫,1.0,0.289
麻奈美,0.0,0.289
麻耶,0.0,0.324
嘉彦,0.667,0.34
曜子,0.0,0.288
扶美子,0.0,0.288
光正,1.0,0.363
ミチエ,0.0,0.287
彩里,0.0,0.287
龍大,1.0,0.287
良史,1.0,0.287
竜治,1.0,0.287
フェリペ,1.0,0.347
和信,1.0,0.309
万里菜,0.0,0.287
双葉,0.0,0.309
一大,1.0,0.309
有華,0.733,0.358
和成,1.0,0.357
義夫,1.0,0.286
尚武,1.0,0.357
今日子,0.0,0.286
美香子,0.0,0.308
笑子,0.25,0.308
佑弥,1.0,0.285
尚貴,1.0,0.307
利和,1.0,0.336
ユキコ,0.0,0.307
愛花,0.0,0.307
光紗,0.0,0.307
茂貴,1.0,0.284
貴央,1.0,0.284
ルナ,0.25,0.306
将輝,1.0,0.306
れいな,0.0,0.365
新也,1.0,0.306
咲季,0.0,0.306
村田,0.5,0.319
タケオ,1.0,0.305
柊斗,1.0,0.283
優羽,0.0,0.283
凪紗,0.0,0.283
のりゆき,1.0,0.282
ウィルソン,1.0,0.333
エリキ,1.0,0.282
明伸,1.0,0.304
寿明,1.0,0.318
一正,0.947,0.358
俊一郎,1.0,0.318
シュン,1.0,0.333
大希,0.75,0.304
穂高,1.0,0.281
成寿,1.0,0.303
卓巳,1.0,0.281
れな,0.0,0.361
優華,0.0,0.317
千香,0.0,0.281
萌乃,0.0,0.28
ひとし,1.0,0.28
直道,1.0,0.28
駿太郎,1.0,0.28
美桜,0.0,0.331
杏里,0.03,0.361
村山,0.333,0.28
サム,0.9,0.342
アレシャンドレ,1.0,0.279
聖矢,1.0,0.279
こはる,0.0,0.344
コウイチ,1.0,0.279
汐音,0.0,0.301
たかのり,1.0,0.338
かずみ,0.6,0.314
義樹,0.824,0.352
美澄,0.167,0.323
麻由佳,0.0,0.301
真貴子,0.0,0.323
康志,1.0,0.3
すみこ,0.25,0.3
英敏,0.692,0.346
松岡,0.667,0.277
尚史,1.0,0.299
和生,1.0,0.353
花梨,0.0,0.299
めろ,0.5,0.299
カリナ,0.0,0.299
史明,1.0,0.299
カズキ,0.75,0.332
英幸,1.0,0.299
浩貴,1.0,0.298
レイナ,0.333,0.276
由子,0.0,0.312
たん,0.167,0.32
