name,male,frequency_score
潤一,1.0,0.756
勇気,0.917,0.762
雄也,1.0,0.756
松田,0.769,0.773
賢太,1.0,0.762
クリス,0.59,0.813
隆幸,1.0,0.747
優衣,0.0,0.746
真帆,0.0,0.761
かず,0.909,0.754
光代,0.0,0.746
智史,1.0,0.772
俊夫,1.0,0.776
香代子,0.0,0.754
史子,0.0,0.766
達矢,1.0,0.745
愛理,0.083,0.76
渡辺,0.8,0.745
近藤,0.692,0.766
麗子,0.0,0.779
勝也,1.0,0.745
さとこ,0.0,0.753
海人,1.0,0.778
拓弥,1.0,0.759
まさき,1.0,0.77
孝一,1.0,0.759
あつし,1.0,0.764
真二,1.0,0.752
智恵子,0.0,0.744
美智代,0.0,0.751
里香,0.118,0.78
くるみ,0.091,0.751
健斗,1.0,0.751
ゆきこ,0.0,0.768
まさひろ,1.0,0.758
智恵,0.0,0.763
ひろと,1.0,0.742
しおり,0.0,0.782
亮輔,1.0,0.742
みく,0.067,0.771
晃平,1.0,0.741
夏子,0.0,0.762
マリ,0.0,0.778
さちこ,0.0,0.756
正行,0.933,0.771
光男,1.0,0.777
武史,1.0,0.755
一貴,1.0,0.74
アリ,0.841,0.811
あゆ,0.077,0.761
康之,1.0,0.74
梨沙,0.0,0.755
えりこ,0.0,0.748
貴裕,1.0,0.754
晃大,1.0,0.747
正則,1.0,0.747
佳祐,1.0,0.782
理恵子,0.0,0.747
義彦,1.0,0.747
桜子,0.0,0.759
史郎,1.0,0.747
里子,0.0,0.738
千絵,0.0,0.738
宏之,1.0,0.746
まさみ,0.5,0.753
俊明,0.989,0.821
文雄,1.0,0.82
浩明,0.913,0.815
昌宏,1.0,0.791
英男,0.864,0.788
育子,0.0,0.756
こうへい,1.0,0.734
哲史,1.0,0.733
ラファエル,1.0,0.772
奈保子,0.0,0.742
祐貴,1.0,0.733
里紗,0.0,0.733
雄平,0.95,0.782
和博,1.0,0.741
雅代,0.111,0.741
華子,0.071,0.764
よし,0.818,0.748
ヒロユキ,1.0,0.731
優斗,1.0,0.753
雅一,1.0,0.73
博司,1.0,0.747
美貴,0.0,0.777
昭夫,1.0,0.739
啓之,1.0,0.738
康雄,1.0,0.757
元気,1.0,0.746
知佳,0.182,0.745
恵理,0.0,0.738
博一,1.0,0.768
将史,1.0,0.744
ルイス,0.981,0.804
あけみ,0.0,0.756
慎二,1.0,0.737
涼介,0.941,0.77
祐輝,1.0,0.755
佳織,0.0,0.779
浩幸,1.0,0.727
裕哉,1.0,0.736
真生,0.308,0.754
ユリ,0.167,0.749
祥太,1.0,0.726
よしお,1.0,0.735
パウロ,1.0,0.754
光希,1.0,0.742
武田,0.467,0.768
彰子,0.0,0.735
俊之,1.0,0.726
愛里,0.0,0.735
祐二,1.0,0.734
卓哉,1.0,0.742
多恵子,0.0,0.734
かなえ,0.0,0.741
健介,1.0,0.741
香奈,0.0,0.752
美千代,0.111,0.724
ロドリゴ,1.0,0.771
ガブリエル,0.962,0.783
拓未,1.0,0.724
義弘,1.0,0.74
伸幸,1.0,0.723
惠子,0.0,0.792
里菜,0.0,0.731
遥香,0.0,0.731
知之,0.917,0.745
一馬,1.0,0.745
克哉,1.0,0.722
清志,1.0,0.769
アン,0.444,0.773
平野,0.667,0.731
寛人,1.0,0.721
和明,1.0,0.78
内田,0.6,0.73
隼斗,1.0,0.721
利恵,0.0,0.748
ちはる,0.037,0.78
のり子,0.0,0.72
幸太,1.0,0.729
好美,0.143,0.756
亮平,0.96,0.777
優作,1.0,0.719
泰三,1.0,0.719
ルミ,0.0,0.719
光太郎,1.0,0.747
はな,0.211,0.768
さなえ,0.0,0.728
孝明,1.0,0.771
広大,1.0,0.718
幸一郎,1.0,0.727
あつこ,0.0,0.718
ユキ,0.133,0.757
淑子,0.067,0.753
彩夏,0.0,0.726
遼太郎,1.0,0.717
